the	the
a	a
an	a
and	and
it	it
its	it
you	you
that	that
in	in
ins	in
for	for
but	but
have	have
has	have
had	have
haves	have
having	have
havings	have
with	with
be	be
been	be
bees	be
beings	be
was	be
were	be
this	this
not	not
are	are
ares	are
they	they
as	as
just	just
juster	just
justest	just
can	can
caned	can
canes	can
caning	can
canned	can
canning	can
cans	can
like	like
liked	like
liker	like
likes	like
likest	like
likings	like
so	so
sos	so
your	your
he	he
hes	he
what	what
me	me
mes	me
would	would
do	do
did	do
does	do
doing	do
doings	do
done	do
all	all
there	there
theres	there
about	about
don	don
donned	don
donning	don
dons	don
get	get
gets	get
getting	get
got	get
gotten	get
one	one
ones	one
from	from
out	out
outed	out
outer	out
outings	out
outs	out
up	up
upped	up
upping	up
ups	up
people	people
peopled	people
peoples	people
peopling	people
more	more
mores	more
when	when
no	no
noes	no
will	will
willed	will
willes	will
wills	will
think	think
thinkings	think
thinks	think
them	them
some	some
because	because
how	how
really	really
time	time
timed	time
times	time
timings	time
know	know
knew	know
knowes	know
knowings	know
known	know
knows	know
good	good
gooder	good
goods	good
then	then
thens	then
their	their
only	only
his	his
than	than
who	who
also	also
much	much
muches	much
even	even
evened	even
evener	even
evenest	even
evenings	even
evens	even
other	other
otherest	other
now	now
make	make
made	make
makes	make
makings	make
she	she
see	see
seeings	see
seen	see
sees	see
want	want
wanted	want
wanting	want
wantings	want
wants	want
could	could
any	any
go	go
goes	go
goings	go
gone	go
went	go
well	well
welled	well
weller	well
welling	well
wellings	well
wells	well
way	way
ways	way
too	too
him	him
her	her
still	still
stilled	still
stiller	still
stillest	still
stilling	still
stillings	still
stills	still
game	game
gamed	game
gamer	game
games	game
gamest	game
gamester	game
gamings	game
going	going
being	being
should	should
which	which
into	into
very	very
something	something
right	right
righted	right
righter	right
rightest	right
righting	right
rightings	right
rights	right
why	why
whys	why
most	most
mostest	most
need	need
needed	need
needing	need
needs	need
here	here
heres	here
say	say
said	say
sayings	say
says	say
first	first
firster	first
firsts	first
same	same
sames	same
back	back
backed	back
backings	back
backs	back
over	over
overest	over
overs	over
use	use
used	use
uses	use
using	use
never	never
pretty	pretty
prettiest	pretty
prettier	pretty
lot	lot
lots	lot
better	better
bettered	better
betterer	better
bettering	better
betterings	better
betters	better
though	though
where	where
sure	sure
surer	sure
surest	sure
thing	thing
things	thing
those	those
work	work
worked	work
workings	work
works	work
wrought	work
after	after
off	off
offed	off
offings	off
offs	off
actually	actually
take	take
taked	take
takeing	take
taken	take
takes	take
takings	take
took	take
new	new
newer	new
newest	new
before	before
someone	someone
someones	someone
down	down
downed	down
downing	down
downs	down
these	these
great	great
greater	great
greatest	great
greats	great
probably	probably
look	look
looked	look
lookings	look
looks	look
love	love
loved	love
loves	love
loving	love
lovings	love
every	every
around	around
while	while
whiles	while
many	many
feel	feel
feeless	feel
feelings	feel
feels	feel
always	always
us	us
play	play
played	play
playings	play
plays	play
find	find
findings	find
finds	find
best	best
bested	best
bester	best
besting	best
bests	best
day	day
days	day
two	two
twos	two
point	point
pointed	point
pointes	point
pointing	point
pointings	point
